A Homogeneous Main-Sequence Model
 The surface conditions are:        The central conditions are:
 Mtot =  1.000000E+00 Msun          Mc/Mtot     =  3.38972E-01
 Rtot =  1.020998E+00 Rsun          Rc/Rtot     =  1.23000E-01
 Ltot =  8.607100E-01 Lsun          Lc/Ltot     = -3.96864E-01
 Teff =  5.500200E+03 K             Density     =  2.41052E+02
 X    =  9.900000E-01               Temperature =  2.13057E+07
 Y    =  2.000000E-03               Pressure    =  8.41256E+17 dynes/cm**2
 Z    =  8.000000E-03               epsilon     = -1.93840E+00 ergs/s/g
                                    dlnP/dlnT   = -5.33587E+00
Notes:
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =     1.989e+33
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9# if so it is
 labeled by *
   r        Qm       L_r       T        P        rho      kap      eps     dlPdlT
8.74E+09 6.61E-01 -1.31E+33 1.10E+07 2.21E+17 1.22E+02 4.66E+00 1.72E+01 c  -5.3
9.45E+09 6.22E-01 2.08E+31 1.15E+07 1.77E+17 9.43E+01 3.32E+00 1.56E+01 r  12.9
1.02E+10 5.85E-01 1.03E+33 1.13E+07 1.44E+17 7.78E+01 3.00E+00 1.20E+01 r   6.2
1.09E+10 5.49E-01 1.76E+33 1.09E+07 1.18E+17 6.56E+01 2.91E+00 8.72E+00 r   5.0
1.16E+10 5.15E-01 2.27E+33 1.05E+07 9.63E+16 5.60E+01 2.91E+00 6.20E+00 r   4.5
1.23E+10 4.82E-01 2.61E+33 1.01E+07 7.90E+16 4.80E+01 2.95E+00 4.36E+00 r   4.3
1.30E+10 4.50E-01 2.84E+33 9.60E+06 6.50E+16 4.13E+01 3.02E+00 3.03E+00 r   4.2
1.37E+10 4.19E-01 3.00E+33 9.17E+06 5.35E+16 3.56E+01 3.10E+00 2.10E+00 r   4.1
1.44E+10 3.90E-01 3.10E+33 8.75E+06 4.41E+16 3.08E+01 3.20E+00 1.45E+00 r   4.1
1.51E+10 3.62E-01 3.17E+33 8.35E+06 3.64E+16 2.66E+01 3.30E+00 9.97E-01 r   4.1
1.58E+10 3.35E-01 3.21E+33 7.97E+06 3.00E+16 2.30E+01 3.40E+00 6.84E-01 r   4.1
1.66E+10 3.10E-01 3.24E+33 7.61E+06 2.48E+16 1.99E+01 3.51E+00 4.68E-01 r   4.1
1.73E+10 2.86E-01 3.26E+33 7.27E+06 2.05E+16 1.72E+01 3.62E+00 3.20E-01 r   4.2
1.80E+10 2.64E-01 3.27E+33 6.95E+06 1.70E+16 1.49E+01 3.73E+00 2.19E-01 r   4.2
1.87E+10 2.43E-01 3.28E+33 6.64E+06 1.41E+16 1.29E+01 3.84E+00 1.49E-01 r   4.2
1.94E+10 2.23E-01 3.28E+33 6.35E+06 1.17E+16 1.12E+01 3.95E+00 1.02E-01 r   4.2
2.01E+10 2.05E-01 3.29E+33 6.08E+06 9.68E+15 9.72E+00 4.06E+00 6.91E-02 r   4.2
2.08E+10 1.88E-01 3.29E+33 5.82E+06 8.04E+15 8.43E+00 4.16E+00 4.69E-02 r   4.3
2.15E+10 1.72E-01 3.29E+33 5.57E+06 6.68E+15 7.32E+00 4.27E+00 3.18E-02 r   4.3
2.22E+10 1.57E-01 3.29E+33 5.34E+06 5.56E+15 6.36E+00 4.38E+00 2.16E-02 r   4.3
2.30E+10 1.44E-01 3.29E+33 5.11E+06 4.63E+15 5.52E+00 4.50E+00 1.46E-02 r   4.3
2.37E+10 1.31E-01 3.29E+33 4.90E+06 3.86E+15 4.80E+00 4.61E+00 9.86E-03 r   4.3
2.44E+10 1.20E-01 3.29E+33 4.70E+06 3.21E+15 4.17E+00 4.72E+00 6.65E-03 r   4.3
2.51E+10 1.09E-01 3.29E+33 4.51E+06 2.68E+15 3.63E+00 4.83E+00 4.48E-03 r   4.4
2.58E+10 9.91E-02 3.29E+33 4.33E+06 2.24E+15 3.16E+00 4.94E+00 3.01E-03 r   4.4
2.65E+10 9.00E-02 3.29E+33 4.15E+06 1.87E+15 2.75E+00 5.05E+00 2.02E-03 r   4.4
2.72E+10 8.17E-02 3.29E+33 3.99E+06 1.56E+15 2.39E+00 5.17E+00 1.35E-03 r   4.4
2.79E+10 7.41E-02 3.29E+33 3.83E+06 1.31E+15 2.09E+00 5.28E+00 9.04E-04 r   4.4
2.86E+10 6.71E-02 3.29E+33 3.68E+06 1.09E+15 1.82E+00 5.40E+00 6.03E-04 r   4.4
2.93E+10 6.07E-02 3.29E+33 3.53E+06 9.16E+14 1.58E+00 5.52E+00 4.01E-04 r   4.4
3.01E+10 5.48E-02 3.29E+33 3.39E+06 7.67E+14 1.38E+00 5.64E+00 2.66E-04 r   4.4
3.08E+10 4.95E-02 3.29E+33 3.26E+06 6.42E+14 1.20E+00 5.76E+00 1.76E-04 r   4.4
3.15E+10 4.46E-02 3.29E+33 3.13E+06 5.38E+14 1.05E+00 5.88E+00 1.16E-04 r   4.5
3.22E+10 4.01E-02 3.29E+33 3.01E+06 4.51E+14 9.14E-01 6.01E+00 7.59E-05 r   4.5
3.29E+10 3.61E-02 3.29E+33 2.89E+06 3.77E+14 7.96E-01 6.13E+00 4.97E-05 r   4.5
3.36E+10 3.24E-02 3.29E+33 2.78E+06 3.16E+14 6.94E-01 6.26E+00 3.24E-05 r   4.5
3.43E+10 2.90E-02 3.29E+33 2.67E+06 2.65E+14 6.05E-01 6.39E+00 2.10E-05 r   4.5
3.50E+10 2.60E-02 3.29E+33 2.57E+06 2.22E+14 5.27E-01 6.53E+00 1.36E-05 r   4.5
3.57E+10 2.32E-02 3.29E+33 2.47E+06 1.85E+14 4.59E-01 6.66E+00 8.71E-06 r   4.5
3.65E+10 2.07E-02 3.29E+33 2.37E+06 1.55E+14 3.99E-01 6.80E+00 5.56E-06 r   4.5
3.72E+10 1.84E-02 3.29E+33 2.28E+06 1.30E+14 3.47E-01 6.95E+00 3.54E-06 r   4.5
3.79E+10 1.64E-02 3.29E+33 2.19E+06 1.08E+14 3.02E-01 7.10E+00 2.23E-06 r   4.5
3.86E+10 1.46E-02 3.29E+33 2.10E+06 9.04E+13 2.62E-01 7.25E+00 1.40E-06 r   4.5
3.93E+10 1.29E-02 3.29E+33 2.02E+06 7.54E+13 2.28E-01 7.40E+00 8.74E-07 r   4.5
4.00E+10 1.14E-02 3.29E+33 1.94E+06 6.28E+13 1.98E-01 7.56E+00 5.41E-07 r   4.5
4.07E+10 1.00E-02 3.29E+33 1.86E+06 5.22E+13 1.71E-01 7.72E+00 3.32E-07 r   4.5
4.08E+10 9.92E-03 3.29E+33 1.85E+06 5.13E+13 1.69E-01 7.74E+00 3.16E-07 r   4.5
4.09E+10 9.79E-03 3.29E+33 1.85E+06 5.03E+13 1.66E-01 7.76E+00 3.01E-07 r   4.5
4.09E+10 9.67E-03 3.29E+33 1.84E+06 4.94E+13 1.64E-01 7.77E+00 2.86E-07 r   4.5
4.10E+10 9.55E-03 3.29E+33 1.83E+06 4.85E+13 1.62E-01 7.79E+00 2.72E-07 r   4.5
4.11E+10 9.42E-03 3.29E+33 1.82E+06 4.76E+13 1.59E-01 7.81E+00 2.59E-07 r   4.5
4.11E+10 9.30E-03 3.29E+33 1.82E+06 4.68E+13 1.57E-01 7.82E+00 2.47E-07 r   4.5
4.12E+10 9.19E-03 3.29E+33 1.81E+06 4.59E+13 1.55E-01 7.84E+00 2.35E-07 r   4.5
4.13E+10 9.07E-03 3.29E+33 1.80E+06 4.50E+13 1.53E-01 7.86E+00 2.23E-07 r   4.5
4.14E+10 8.95E-03 3.29E+33 1.79E+06 4.42E+13 1.50E-01 7.87E+00 2.12E-07 r   4.5
4.14E+10 8.84E-03 3.29E+33 1.79E+06 4.34E+13 1.48E-01 7.89E+00 2.02E-07 r   4.5
4.15E+10 8.72E-03 3.29E+33 1.78E+06 4.26E+13 1.46E-01 7.91E+00 1.92E-07 r   4.5
4.16E+10 8.61E-03 3.29E+33 1.77E+06 4.18E+13 1.44E-01 7.93E+00 1.83E-07 r   4.5
4.16E+10 8.50E-03 3.29E+33 1.76E+06 4.10E+13 1.42E-01 7.94E+00 1.74E-07 r   4.5
4.17E+10 8.39E-03 3.29E+33 1.76E+06 4.03E+13 1.40E-01 7.96E+00 1.65E-07 r   4.5
4.18E+10 8.28E-03 3.29E+33 1.75E+06 3.95E+13 1.38E-01 7.98E+00 1.57E-07 r   4.5
4.19E+10 8.17E-03 3.29E+33 1.74E+06 3.88E+13 1.36E-01 8.00E+00 1.49E-07 r   4.5
4.19E+10 8.07E-03 3.29E+33 1.74E+06 3.81E+13 1.34E-01 8.01E+00 1.42E-07 r   4.5
4.20E+10 7.96E-03 3.29E+33 1.73E+06 3.74E+13 1.32E-01 8.03E+00 1.35E-07 r   4.5
4.21E+10 7.86E-03 3.29E+33 1.72E+06 3.67E+13 1.30E-01 8.05E+00 1.28E-07 r   4.5
4.21E+10 7.76E-03 3.29E+33 1.71E+06 3.60E+13 1.28E-01 8.07E+00 1.22E-07 r   4.5
4.22E+10 7.66E-03 3.29E+33 1.71E+06 3.53E+13 1.26E-01 8.08E+00 1.16E-07 r   4.5
4.23E+10 7.55E-03 3.29E+33 1.70E+06 3.47E+13 1.24E-01 8.10E+00 1.10E-07 r   4.5
4.24E+10 7.46E-03 3.29E+33 1.69E+06 3.40E+13 1.23E-01 8.12E+00 1.05E-07 r   4.5
4.24E+10 7.36E-03 3.29E+33 1.69E+06 3.34E+13 1.21E-01 8.14E+00 9.93E-08 r   4.5
4.25E+10 7.26E-03 3.29E+33 1.68E+06 3.28E+13 1.19E-01 8.15E+00 9.43E-08 r   4.5
4.26E+10 7.16E-03 3.29E+33 1.67E+06 3.22E+13 1.17E-01 8.17E+00 8.96E-08 r   4.5
4.26E+10 7.07E-03 3.29E+33 1.67E+06 3.16E+13 1.16E-01 8.19E+00 8.50E-08 r   4.5
4.27E+10 6.98E-03 3.29E+33 1.66E+06 3.10E+13 1.14E-01 8.21E+00 8.08E-08 r   4.5
4.28E+10 6.88E-03 3.29E+33 1.65E+06 3.04E+13 1.12E-01 8.23E+00 7.67E-08 r   4.5
4.28E+10 6.79E-03 3.29E+33 1.64E+06 2.98E+13 1.11E-01 8.24E+00 7.28E-08 r   4.5
4.29E+10 6.70E-03 3.29E+33 1.64E+06 2.93E+13 1.09E-01 8.26E+00 6.91E-08 r   4.5
4.30E+10 6.61E-03 3.29E+33 1.63E+06 2.87E+13 1.07E-01 8.28E+00 6.56E-08 r   4.5
4.31E+10 6.52E-03 3.29E+33 1.62E+06 2.82E+13 1.06E-01 8.30E+00 6.22E-08 r   4.5
4.31E+10 6.43E-03 3.29E+33 1.62E+06 2.76E+13 1.04E-01 8.32E+00 5.91E-08 r   4.5
4.32E+10 6.35E-03 3.29E+33 1.61E+06 2.71E+13 1.03E-01 8.34E+00 5.60E-08 r   4.5
4.33E+10 6.26E-03 3.29E+33 1.60E+06 2.66E+13 1.01E-01 8.36E+00 5.32E-08 r   4.5
4.33E+10 6.18E-03 3.29E+33 1.60E+06 2.61E+13 9.98E-02 8.37E+00 5.04E-08 r   4.5
4.34E+10 6.09E-03 3.29E+33 1.59E+06 2.56E+13 9.83E-02 8.39E+00 4.79E-08 r   4.5
4.35E+10 6.01E-03 3.29E+33 1.58E+06 2.51E+13 9.69E-02 8.41E+00 4.54E-08 r   4.5
4.36E+10 5.93E-03 3.29E+33 1.58E+06 2.47E+13 9.54E-02 8.43E+00 4.30E-08 r   4.5
4.36E+10 5.85E-03 3.29E+33 1.57E+06 2.42E+13 9.40E-02 8.45E+00 4.08E-08 r   4.5
