A Homogeneous Main-Sequence Model
 The surface conditions are:        The central conditions are:
 Mtot =  1.000000E+00 Msun          Mc/Mtot     =  6.21599E-01
 Rtot =  1.020998E+00 Rsun          Rc/Rtot     =  1.43000E-01
 Ltot =  8.607100E-01 Lsun          Lc/Ltot     = -3.98213E-01
 Teff =  5.500200E+03 K             Density     =  2.81297E+02
 X    =  7.000000E-01               Temperature =  3.59731E+07
 Y    =  0.000000E+00               Pressure    =  1.29397E+18 dynes/cm**2
 Z    =  3.000000E-01               epsilon     = -1.06065E+00 ergs/s/g
                                    dlnP/dlnT   = -1.86483E+01
Notes:
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =     1.989e+33
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9# if so it is
 labeled by *
   r        Qm       L_r       T        P        rho      kap      eps     dlPdlT
1.02E+10 3.78E-01 -1.31E+33 1.46E+07 1.52E+17 8.12E+01 2.05E+01 3.01E+01 c -18.6
1.09E+10 3.44E-01 7.81E+32 1.49E+07 1.14E+17 6.01E+01 1.53E+01 2.61E+01 r   7.4
1.16E+10 3.14E-01 1.98E+33 1.43E+07 8.73E+16 4.76E+01 1.45E+01 1.44E+01 r   5.3
1.23E+10 2.86E-01 2.57E+33 1.36E+07 6.74E+16 3.86E+01 1.45E+01 7.91E+00 r   4.8
1.30E+10 2.61E-01 2.88E+33 1.29E+07 5.24E+16 3.16E+01 1.49E+01 4.67E+00 r   4.6
1.37E+10 2.38E-01 3.05E+33 1.23E+07 4.10E+16 2.61E+01 1.53E+01 2.91E+00 r   4.5
1.44E+10 2.17E-01 3.14E+33 1.16E+07 3.22E+16 2.16E+01 1.59E+01 1.87E+00 r   4.5
1.51E+10 1.98E-01 3.20E+33 1.10E+07 2.55E+16 1.80E+01 1.65E+01 1.22E+00 r   4.5
1.58E+10 1.80E-01 3.24E+33 1.05E+07 2.02E+16 1.51E+01 1.71E+01 8.01E-01 r   4.5
1.66E+10 1.64E-01 3.26E+33 9.96E+06 1.61E+16 1.26E+01 1.77E+01 5.30E-01 r   4.5
1.73E+10 1.49E-01 3.27E+33 9.47E+06 1.29E+16 1.06E+01 1.84E+01 3.52E-01 r   4.5
1.80E+10 1.36E-01 3.28E+33 9.02E+06 1.03E+16 8.94E+00 1.90E+01 2.34E-01 r   4.5
1.87E+10 1.23E-01 3.29E+33 8.59E+06 8.31E+15 7.56E+00 1.97E+01 1.56E-01 r   4.5
1.94E+10 1.12E-01 3.29E+33 8.19E+06 6.71E+15 6.40E+00 2.03E+01 1.05E-01 r   4.5
2.01E+10 1.01E-01 3.29E+33 7.82E+06 5.44E+15 5.43E+00 2.10E+01 7.03E-02 r   4.5
2.08E+10 9.20E-02 3.29E+33 7.46E+06 4.42E+15 4.62E+00 2.17E+01 4.72E-02 r   4.5
2.15E+10 8.34E-02 3.29E+33 7.13E+06 3.60E+15 3.94E+00 2.23E+01 3.18E-02 r   4.5
2.22E+10 7.56E-02 3.29E+33 6.82E+06 2.94E+15 3.36E+00 2.30E+01 2.14E-02 r   4.5
2.30E+10 6.85E-02 3.29E+33 6.52E+06 2.40E+15 2.88E+00 2.37E+01 1.44E-02 r   4.5
2.37E+10 6.20E-02 3.29E+33 6.24E+06 1.97E+15 2.46E+00 2.44E+01 9.74E-03 r   4.5
2.44E+10 5.61E-02 3.29E+33 5.98E+06 1.62E+15 2.11E+00 2.51E+01 6.58E-03 r   4.5
2.51E+10 5.07E-02 3.29E+33 5.73E+06 1.33E+15 1.82E+00 2.58E+01 4.44E-03 r   4.6
2.58E+10 4.58E-02 3.29E+33 5.49E+06 1.10E+15 1.56E+00 2.65E+01 3.00E-03 r   4.6
2.65E+10 4.14E-02 3.29E+33 5.26E+06 9.07E+14 1.34E+00 2.73E+01 2.02E-03 r   4.6
2.72E+10 3.73E-02 3.29E+33 5.05E+06 7.50E+14 1.16E+00 2.80E+01 1.36E-03 r   4.6
2.79E+10 3.36E-02 3.29E+33 4.84E+06 6.21E+14 1.00E+00 2.87E+01 9.19E-04 r   4.6
2.86E+10 3.03E-02 3.29E+33 4.65E+06 5.15E+14 8.64E-01 2.95E+01 6.18E-04 r   4.6
2.93E+10 2.73E-02 3.29E+33 4.46E+06 4.27E+14 7.46E-01 3.03E+01 4.15E-04 r   4.6
3.01E+10 2.45E-02 3.29E+33 4.29E+06 3.55E+14 6.46E-01 3.10E+01 2.79E-04 r   4.6
3.08E+10 2.20E-02 3.29E+33 4.12E+06 2.95E+14 5.59E-01 3.18E+01 1.87E-04 r   4.6
3.15E+10 1.98E-02 3.29E+33 3.95E+06 2.45E+14 4.84E-01 3.27E+01 1.25E-04 r   4.6
3.22E+10 1.77E-02 3.29E+33 3.80E+06 2.04E+14 4.19E-01 3.35E+01 8.30E-05 r   4.6
3.29E+10 1.59E-02 3.29E+33 3.65E+06 1.70E+14 3.63E-01 3.43E+01 5.52E-05 r   4.6
3.36E+10 1.42E-02 3.29E+33 3.51E+06 1.41E+14 3.14E-01 3.52E+01 3.65E-05 r   4.6
3.43E+10 1.27E-02 3.29E+33 3.37E+06 1.18E+14 2.72E-01 3.61E+01 2.41E-05 r   4.6
3.50E+10 1.13E-02 3.29E+33 3.24E+06 9.80E+13 2.36E-01 3.70E+01 1.59E-05 r   4.6
