A Homogeneous Main-Sequence Model
 The surface conditions are:        The central conditions are:
 Mtot =  1.000000E+00 Msun          Mc/Mtot     =  4.00418E-04
 Rtot =  1.020998E+00 Rsun          Rc/Rtot     =  1.90000E-02
 Ltot =  8.607100E-01 Lsun          Lc/Ltot     =  7.67225E-02
 Teff =  5.500200E+03 K             Density     =  7.72529E+01
 X    =  7.000000E-01               Temperature =  1.41421E+07
 Y    =  2.920000E-01               Pressure    =  1.46284E+17 dynes/cm**2
 Z    =  8.000000E-03               epsilon     =  3.17232E+02 ergs/s/g
                                    dlnP/dlnT   =  2.49808E+00
Notes:
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =     1.989e+33
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9# if so it is
 labeled by *
   r        Qm       L_r       T        P        rho      kap      eps     dlPdlT
1.35E+09 1.00E+00 2.53E+32 1.40E+07 1.45E+17 7.72E+01 1.40E+00 1.51E+01 c   2.5
2.06E+09 9.99E-01 2.83E+32 1.39E+07 1.43E+17 7.66E+01 1.42E+00 1.46E+01 c   2.5
2.77E+09 9.97E-01 3.40E+32 1.38E+07 1.40E+17 7.57E+01 1.44E+00 1.39E+01 c   2.5
3.48E+09 9.93E-01 4.28E+32 1.37E+07 1.36E+17 7.45E+01 1.46E+00 1.31E+01 c   2.5
4.19E+09 9.88E-01 5.51E+32 1.35E+07 1.32E+17 7.31E+01 1.49E+00 1.21E+01 c   2.5
4.90E+09 9.82E-01 7.06E+32 1.33E+07 1.27E+17 7.15E+01 1.53E+00 1.11E+01 c   2.5
5.61E+09 9.73E-01 8.90E+32 1.31E+07 1.22E+17 6.97E+01 1.58E+00 1.00E+01 c   2.4
6.32E+09 9.62E-01 1.10E+33 1.28E+07 1.16E+17 6.77E+01 1.63E+00 8.87E+00 r   2.5
7.03E+09 9.49E-01 1.32E+33 1.25E+07 1.10E+17 6.55E+01 1.70E+00 7.79E+00 r   2.7
7.75E+09 9.33E-01 1.54E+33 1.22E+07 1.03E+17 6.30E+01 1.76E+00 6.76E+00 r   2.7
8.46E+09 9.15E-01 1.77E+33 1.19E+07 9.65E+16 6.04E+01 1.83E+00 5.81E+00 r   2.8
9.17E+09 8.94E-01 1.99E+33 1.16E+07 8.96E+16 5.76E+01 1.91E+00 4.93E+00 r   2.9
9.88E+09 8.71E-01 2.19E+33 1.13E+07 8.28E+16 5.46E+01 1.99E+00 4.14E+00 r   3.0
1.06E+10 8.46E-01 2.38E+33 1.10E+07 7.60E+16 5.16E+01 2.07E+00 3.45E+00 r   3.1
1.13E+10 8.19E-01 2.55E+33 1.07E+07 6.95E+16 4.86E+01 2.16E+00 2.83E+00 r   3.1
1.20E+10 7.91E-01 2.70E+33 1.04E+07 6.31E+16 4.55E+01 2.25E+00 2.31E+00 r   3.2
1.27E+10 7.60E-01 2.82E+33 1.00E+07 5.70E+16 4.24E+01 2.35E+00 1.86E+00 r   3.3
1.34E+10 7.29E-01 2.92E+33 9.71E+06 5.13E+16 3.94E+01 2.45E+00 1.48E+00 r   3.3
1.41E+10 6.97E-01 3.01E+33 9.39E+06 4.59E+16 3.65E+01 2.55E+00 1.17E+00 r   3.4
1.49E+10 6.64E-01 3.08E+33 9.07E+06 4.08E+16 3.36E+01 2.66E+00 9.19E-01 r   3.5
1.56E+10 6.30E-01 3.13E+33 8.77E+06 3.62E+16 3.08E+01 2.76E+00 7.14E-01 r   3.5
1.63E+10 5.97E-01 3.17E+33 8.46E+06 3.20E+16 2.82E+01 2.88E+00 5.50E-01 r   3.6
1.70E+10 5.63E-01 3.21E+33 8.17E+06 2.81E+16 2.57E+01 2.99E+00 4.20E-01 r   3.7
1.77E+10 5.30E-01 3.23E+33 7.88E+06 2.46E+16 2.33E+01 3.10E+00 3.19E-01 r   3.7
1.84E+10 4.98E-01 3.25E+33 7.60E+06 2.15E+16 2.11E+01 3.21E+00 2.40E-01 r   3.8
1.91E+10 4.66E-01 3.26E+33 7.32E+06 1.87E+16 1.91E+01 3.33E+00 1.79E-01 r   3.8
1.98E+10 4.35E-01 3.27E+33 7.06E+06 1.62E+16 1.72E+01 3.44E+00 1.33E-01 r   3.9
2.05E+10 4.06E-01 3.28E+33 6.80E+06 1.40E+16 1.54E+01 3.55E+00 9.83E-02 r   3.9
2.12E+10 3.77E-01 3.28E+33 6.55E+06 1.21E+16 1.38E+01 3.67E+00 7.21E-02 r   4.0
2.20E+10 3.50E-01 3.29E+33 6.31E+06 1.04E+16 1.23E+01 3.78E+00 5.26E-02 r   4.0
2.27E+10 3.24E-01 3.29E+33 6.08E+06 8.97E+15 1.10E+01 3.90E+00 3.82E-02 r   4.1
2.34E+10 2.99E-01 3.29E+33 5.85E+06 7.69E+15 9.82E+00 4.01E+00 2.75E-02 r   4.1
2.41E+10 2.75E-01 3.29E+33 5.63E+06 6.59E+15 8.73E+00 4.12E+00 1.98E-02 r   4.1
2.48E+10 2.53E-01 3.29E+33 5.43E+06 5.63E+15 7.75E+00 4.24E+00 1.41E-02 r   4.2
2.55E+10 2.33E-01 3.29E+33 5.22E+06 4.81E+15 6.87E+00 4.35E+00 1.00E-02 r   4.2
2.62E+10 2.13E-01 3.29E+33 5.03E+06 4.10E+15 6.08E+00 4.46E+00 7.10E-03 r   4.2
2.69E+10 1.95E-01 3.29E+33 4.84E+06 3.49E+15 5.38E+00 4.58E+00 5.00E-03 r   4.2
2.76E+10 1.78E-01 3.29E+33 4.66E+06 2.97E+15 4.75E+00 4.69E+00 3.50E-03 r   4.3
2.84E+10 1.62E-01 3.29E+33 4.48E+06 2.52E+15 4.20E+00 4.81E+00 2.44E-03 r   4.3
2.91E+10 1.48E-01 3.29E+33 4.32E+06 2.14E+15 3.70E+00 4.92E+00 1.70E-03 r   4.3
2.98E+10 1.34E-01 3.29E+33 4.15E+06 1.81E+15 3.26E+00 5.04E+00 1.17E-03 r   4.3
3.05E+10 1.22E-01 3.29E+33 4.00E+06 1.54E+15 2.87E+00 5.16E+00 8.08E-04 r   4.3
3.12E+10 1.10E-01 3.29E+33 3.85E+06 1.30E+15 2.52E+00 5.27E+00 5.54E-04 r   4.4
3.19E+10 9.97E-02 3.29E+33 3.70E+06 1.10E+15 2.22E+00 5.39E+00 3.77E-04 r   4.4
3.26E+10 9.00E-02 3.29E+33 3.56E+06 9.29E+14 1.95E+00 5.51E+00 2.56E-04 r   4.4
3.33E+10 8.11E-02 3.29E+33 3.43E+06 7.84E+14 1.71E+00 5.64E+00 1.73E-04 r   4.4
3.40E+10 7.30E-02 3.29E+33 3.30E+06 6.61E+14 1.50E+00 5.76E+00 1.16E-04 r   4.4
3.47E+10 6.55E-02 3.29E+33 3.17E+06 5.57E+14 1.31E+00 5.88E+00 7.76E-05 r   4.4
3.55E+10 5.87E-02 3.29E+33 3.05E+06 4.69E+14 1.15E+00 6.01E+00 5.15E-05 r   4.4
3.62E+10 5.25E-02 3.29E+33 2.93E+06 3.94E+14 1.00E+00 6.14E+00 3.40E-05 r   4.4
3.69E+10 4.69E-02 3.29E+33 2.82E+06 3.31E+14 8.77E-01 6.27E+00 2.23E-05 r   4.5
3.76E+10 4.18E-02 3.29E+33 2.71E+06 2.78E+14 7.65E-01 6.41E+00 1.46E-05 r   4.5
3.83E+10 3.72E-02 3.29E+33 2.61E+06 2.33E+14 6.67E-01 6.55E+00 9.45E-06 r   4.5
3.90E+10 3.30E-02 3.29E+33 2.51E+06 1.95E+14 5.81E-01 6.69E+00 6.08E-06 r   4.5
3.97E+10 2.92E-02 3.29E+33 2.41E+06 1.63E+14 5.06E-01 6.83E+00 3.89E-06 r   4.5
4.04E+10 2.58E-02 3.29E+33 2.31E+06 1.36E+14 4.39E-01 6.98E+00 2.46E-06 r   4.5
4.11E+10 2.28E-02 3.29E+33 2.22E+06 1.13E+14 3.81E-01 7.14E+00 1.55E-06 r   4.5
4.19E+10 2.00E-02 3.29E+33 2.13E+06 9.44E+13 3.31E-01 7.29E+00 9.65E-07 r   4.5
4.26E+10 1.76E-02 3.29E+33 2.04E+06 7.84E+13 2.86E-01 7.45E+00 5.96E-07 r   4.5
4.33E+10 1.54E-02 3.29E+33 1.96E+06 6.50E+13 2.47E-01 7.62E+00 3.65E-07 r   4.5
