A Homogeneous Main-Sequence Model
 The surface conditions are:        The central conditions are:
 Mtot =  7.500000E-01 Msun          Mc/Mtot     =  2.94662E-04
 Rtot =  9.786486E-01 Rsun          Rc/Rtot     =  1.70000E-02
 Ltot =  1.877000E-01 Lsun          Lc/Ltot     =  8.14922E-02
 Teff =  3.839100E+03 K             Density     =  6.75920E+01
 X    =  7.000000E-01               Temperature =  1.11109E+07
 Y    =  2.920000E-01               Pressure    =  1.00558E+17 dynes/cm**2
 Z    =  8.000000E-03               epsilon     =  1.33139E+02 ergs/s/g
                                    dlnP/dlnT   =  2.49875E+00
Notes:
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =     1.989e+33
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9# if so it is
 labeled by *
   r        Qm       L_r       T        P        rho      kap      eps     dlPdlT
1.16E+09 1.00E+00 5.85E+31 1.10E+07 9.97E+16 6.75E+01 2.52E+00 4.57E+00 c   2.5
1.84E+09 9.99E-01 6.44E+31 1.10E+07 9.84E+16 6.70E+01 2.54E+00 4.43E+00 c   2.5
2.52E+09 9.97E-01 7.62E+31 1.09E+07 9.65E+16 6.63E+01 2.58E+00 4.23E+00 c   2.5
3.20E+09 9.94E-01 9.52E+31 1.08E+07 9.42E+16 6.53E+01 2.63E+00 3.98E+00 c   2.5
3.88E+09 9.89E-01 1.22E+32 1.06E+07 9.13E+16 6.41E+01 2.69E+00 3.70E+00 c   2.5
4.56E+09 9.83E-01 1.56E+32 1.05E+07 8.80E+16 6.27E+01 2.77E+00 3.38E+00 c   2.5
5.24E+09 9.74E-01 1.97E+32 1.03E+07 8.43E+16 6.11E+01 2.86E+00 3.04E+00 c   2.4
5.93E+09 9.63E-01 2.43E+32 1.01E+07 8.02E+16 5.93E+01 2.98E+00 2.69E+00 r   2.5
6.61E+09 9.50E-01 2.92E+32 9.88E+06 7.59E+16 5.74E+01 3.10E+00 2.35E+00 r   2.7
7.29E+09 9.35E-01 3.43E+32 9.65E+06 7.14E+16 5.52E+01 3.24E+00 2.03E+00 r   2.8
7.97E+09 9.17E-01 3.94E+32 9.42E+06 6.67E+16 5.29E+01 3.38E+00 1.73E+00 r   2.8
8.65E+09 8.96E-01 4.42E+32 9.18E+06 6.20E+16 5.04E+01 3.53E+00 1.46E+00 r   2.9
9.33E+09 8.73E-01 4.88E+32 8.93E+06 5.72E+16 4.79E+01 3.69E+00 1.22E+00 r   3.0
1.00E+10 8.48E-01 5.29E+32 8.68E+06 5.26E+16 4.52E+01 3.86E+00 1.00E+00 r   3.1
1.07E+10 8.21E-01 5.66E+32 8.42E+06 4.80E+16 4.25E+01 4.04E+00 8.16E-01 r   3.1
1.14E+10 7.93E-01 5.97E+32 8.17E+06 4.36E+16 3.98E+01 4.23E+00 6.56E-01 r   3.2
1.21E+10 7.62E-01 6.23E+32 7.91E+06 3.93E+16 3.71E+01 4.43E+00 5.22E-01 r   3.3
1.27E+10 7.31E-01 6.45E+32 7.66E+06 3.53E+16 3.45E+01 4.63E+00 4.11E-01 r   3.4
1.34E+10 6.98E-01 6.63E+32 7.41E+06 3.16E+16 3.18E+01 4.84E+00 3.20E-01 r   3.4
1.41E+10 6.65E-01 6.77E+32 7.16E+06 2.81E+16 2.93E+01 5.06E+00 2.47E-01 r   3.5
1.48E+10 6.32E-01 6.88E+32 6.91E+06 2.49E+16 2.69E+01 5.27E+00 1.89E-01 r   3.6
1.55E+10 5.98E-01 6.96E+32 6.67E+06 2.20E+16 2.46E+01 5.50E+00 1.43E-01 r   3.6
1.61E+10 5.64E-01 7.02E+32 6.44E+06 1.93E+16 2.24E+01 5.72E+00 1.07E-01 r   3.7
1.68E+10 5.31E-01 7.07E+32 6.21E+06 1.69E+16 2.03E+01 5.95E+00 8.00E-02 r   3.7
1.75E+10 4.98E-01 7.10E+32 5.99E+06 1.47E+16 1.84E+01 6.18E+00 5.91E-02 r   3.8
1.82E+10 4.67E-01 7.13E+32 5.77E+06 1.28E+16 1.66E+01 6.41E+00 4.34E-02 r   3.9
1.89E+10 4.36E-01 7.14E+32 5.56E+06 1.11E+16 1.49E+01 6.64E+00 3.16E-02 r   3.9
1.95E+10 4.06E-01 7.16E+32 5.36E+06 9.59E+15 1.34E+01 6.87E+00 2.29E-02 r   4.0
2.02E+10 3.77E-01 7.16E+32 5.16E+06 8.27E+15 1.20E+01 7.10E+00 1.65E-02 r   4.0
2.09E+10 3.50E-01 7.17E+32 4.97E+06 7.12E+15 1.07E+01 7.33E+00 1.18E-02 r   4.0
2.16E+10 3.23E-01 7.17E+32 4.79E+06 6.11E+15 9.53E+00 7.55E+00 8.38E-03 r   4.1
2.23E+10 2.99E-01 7.18E+32 4.61E+06 5.24E+15 8.48E+00 7.78E+00 5.92E-03 r   4.1
2.30E+10 2.75E-01 7.18E+32 4.44E+06 4.48E+15 7.54E+00 8.01E+00 4.17E-03 r   4.2
2.36E+10 2.53E-01 7.18E+32 4.27E+06 3.83E+15 6.69E+00 8.24E+00 2.91E-03 r   4.2
2.43E+10 2.32E-01 7.18E+32 4.12E+06 3.26E+15 5.92E+00 8.46E+00 2.03E-03 r   4.2
2.50E+10 2.13E-01 7.18E+32 3.96E+06 2.78E+15 5.24E+00 8.69E+00 1.40E-03 r   4.2
2.57E+10 1.95E-01 7.18E+32 3.81E+06 2.37E+15 4.63E+00 8.92E+00 9.68E-04 r   4.3
